Domain,Start,End,Length_aa,All_RTT_related_count,PLP_count,Non_PLP_count,PLP_percent_within_domain,All_variant_density_per_residue,PLP_variant_density_per_residue
NTD,1,77,77,12,3,9,25.0,0.15584415584415584,0.03896103896103896
MBD,78,162,85,84,60,24,71.42857142857143,0.9882352941176471,0.7058823529411765
ID,163,206,44,29,2,27,6.896551724137931,0.6590909090909091,0.045454545454545456
TRD,207,310,104,61,26,35,42.62295081967213,0.5865384615384616,0.25
CRD,311,486,176,103,3,100,2.912621359223301,0.5852272727272727,0.017045454545454544
